#date, pm25, pm10, o3, no2, so2, co
2019/7/4, 75, , 38, , 3, 5
2019/7/5, 60, , 27, , 3, 6
2019/7/6, 61, , 24, , 2, 5
2019/7/7, 51, , 23, , 2, 4
2019/7/8, 36, , 24, , 3, 5
2019/7/9, 56, , 29, , 1, 5
2019/7/10, 46, , 35, , 1, 4
2019/7/11, 38, , 38, , 2, 4
2019/7/12, 53, , 28, , 2, 3
2019/7/13, 60, , 24, , 2, 4
2019/7/14, 65, , 23, , 2, 3
2019/7/15, 49, , 29, , 2, 3
2019/7/16, 64, , 30, , 1, 1
2019/7/17, 44, , 29, , 1, 1
2019/7/18, 43, , 29, , 1, 1
2019/7/19, 42, , 30, , 1, 1
2019/7/20, 55, , 25, , 1, 2
2019/7/21, 51, , 27, , 1, 2
2019/7/22, 41, , 26, , 2, 3
2019/7/23, 69, , 19, , 4, 5
2019/7/24, 85, , 27, , 2, 4
2019/7/25, 56, , 24, , 3, 5
2019/7/26, 65, , 30, , 2, 4
2019/7/27, 54, , 31, , 1, 3
2019/7/28, 75, , 25, , 1, 3
2019/7/29, 45, , 38, , 1, 2
2019/7/30, 50, , 37, , 3, 5
2019/7/31, 81, , 28, , 1, 3
2019/8/1, 48, , 33, , 2, 4
2019/8/2, 56, , 29, , 3, 5
2019/8/3, 71, , 30, , 2, 4
2019/8/4, 55, , 31, , 1, 3
2019/8/5, 46, , 38, , 1, 3
2019/8/6, 46, , 38, , 1, 3
2019/8/7, 44, , 34, , 1, 3
2019/8/8, 46, , 34, , 1, 3
2019/8/9, 51, , 31, , 1, 3
2019/8/10, 51, , 29, , 1, 4
2019/8/11, 48, , 32, , , 4
2019/8/12, 47, , 36, , 1, 4
2019/8/13, 49, , 32, , 1, 4
2019/8/14, 44, , 72, , , 4
2019/8/15, 84, , 57, , , 3
2019/8/16, 90, , 58, , 1, 2
2019/8/17, 62, , 43, , 1, 3
2019/8/18, 55, , 35, , , 2
2019/8/19, 41, , 32, , 1, 2
2019/8/20, 45, , 31, , 1, 2
2019/8/21, 48, , 41, , 1, 2
2019/8/22, 53, , 42, , 1, 3
2019/8/23, 49, , 42, , , 3
2019/8/24, 58, , 39, , , 3
2019/8/25, 71, , 41, , 1, 3
2019/8/26, 54, , 46, , 1, 3
2019/8/27, 53, , 47, , , 3
2019/8/28, 49, , 40, , 1, 4
2019/8/29, 59, , 40, , 1, 3
2019/8/30, 49, , 55, , 1, 3
2019/8/31, 47, , 43, , 1, 5
2019/9/1, 60, , 42, , , 4
2019/9/2, 56, , 50, , 1, 5
2019/9/3, 66, , 46, , 3, 4
2019/9/4, 70, , 38, , 1, 3
2019/9/5, 63, , 37, , 2, 4
2019/9/6, 63, , 33, , 1, 3
2019/9/7, 47, , 41, , 1, 3
2019/9/8, 44, , 45, , , 2
2019/9/9, 44, , 39, , 1, 3
2019/9/10, 64, , 48, , 2, 4
2019/9/11, 70, , 37, , 2, 5
2019/9/12, 68, , 34, , 3, 5
2019/9/13, 83, , 41, , 1, 4
2019/9/14, 66, , 37, , 1, 5
2019/9/15, 79, , 35, , 1, 5
2019/9/16, 62, , 46, , 1, 4
2019/9/17, 51, , 41, , 1, 4
2019/9/18, 60, , 48, , 2, 4
2019/9/19, 97, , 47, , 2, 4
