date, pm25, pm10, o3, no2, so2, co
2019/11/8, 62, , 33, , 4, 7
2019/11/9, 59, , 14, , 3, 5
2019/11/10, 61, , , , , 
2019/11/12, 51, , 20, , 3, 8
2019/11/13, 64, , 19, , 2, 8
2019/11/14, 57, , 23, , 2, 7
2019/11/15, 47, , 13, , 3, 10
2019/11/16, 59, , 19, , 2, 9
2019/11/17, 56, , 27, , 2, 7
2019/11/18, 42, , 24, , 3, 9
2019/11/19, 62, , 20, , 4, 12
2019/11/20, 76, , 32, , 3, 10
2019/11/21, 65, , 20, , 3, 8
2019/11/22, 56, , 30, , 2, 8
2019/11/23, 58, , 31, , 3, 11
2019/11/24, 69, , 36, , 2, 9
2019/11/25, 56, , 30, , 4, 9
2019/11/26, 58, , 21, , 5, 10
2019/11/27, 58, , 17, , 4, 5
2019/11/28, 55, , 21, , 4, 5
2019/11/29, 67, , 23, , 3, 7
2019/11/30, 78, , , , , 
2019/12/3, 61, , 21, , 3, 9
2019/12/4, 61, , 28, , 5, 7
2019/12/5, 66, , , , , 
2019/12/6, 67, , , , , 
2019/12/7, 65, , , , , 
2019/12/8, 47, , , , , 
2019/12/9, 42, , 12, , 4, 11
2019/12/10, 72, , 17, , 2, 7
2019/12/11, 55, , 32, , 3, 5
2019/12/12, 60, , 24, , 3, 6
2019/12/13, 58, , 25, , 5, 8
2019/12/14, 88, , 29, , 3, 7
2019/12/15, 75, , 37, , 4, 8
2019/12/16, 73, , 31, , 4, 7
2019/12/17, 65, , 34, , 3, 5
2019/12/18, 58, , 23, , 4, 8
2019/12/19, 79, , 17, , 3, 8
2019/12/20, 70, , 21, , 4, 9
2019/12/21, 74, , 27, , 4, 10
2019/12/22, 70, , 25, , 3, 8
2019/12/23, 56, , 24, , 3, 6
2019/12/24, 54, , 26, , 3, 8
2019/12/25, 50, , 32, , 3, 6
2019/12/26, 47, , 25, , 3, 5
2019/12/27, 43, , 25, , 3, 7
2019/12/28, 54, , 27, , 3, 7
2019/12/29, 57, , 31, , 2, 6
2019/12/30, 50, , , , , 
2019/7/2, 39, , 21, , 5, 9
2019/7/3, 69, , 29, , 5, 9
2019/7/4, 79, , 23, , 6, 7
2019/7/5, 59, , 24, , 7, 5
2019/7/6, 55, , 21, , 3, 2
2019/7/7, 27, , 20, , 2, 2
2019/7/8, 23, , 21, , 3, 4
2019/7/9, 44, , 25, , 4, 5
2019/7/10, 41, , 24, , 2, 5
2019/7/11, 29, , 23, , 4, 9
2019/7/12, 61, , 11, , 7, 12
2019/7/13, 77, , 23, , 5, 10
2019/7/14, 61, , 21, , 2, 7
2019/7/15, 48, , 21, , 3, 8
2019/7/16, 51, , 27, , 4, 6
2019/7/17, 40, , 25, , 3, 4
2019/7/18, 45, , 23, , 3, 4
2019/7/19, 39, , 25, , 2, 4
2019/7/20, 29, , 24, , 3, 4
2019/7/21, 29, , 26, , 2, 3
2019/7/22, 30, , 23, , 3, 5
2019/7/23, 62, , 15, , 3, 7
2019/7/24, 72, , 24, , 3, 6
2019/7/25, 58, , 22, , 4, 8
2019/7/26, 77, , 28, , 3, 6
2019/7/27, 43, , 28, , 3, 6
2019/7/28, 40, , 24, , 2, 6
2019/7/29, 29, , 35, , 3, 5
2019/7/30, 40, , 33, , 3, 4
2019/7/31, 47, , 31, , 1, 4
2019/8/1, 36, , 28, , 2, 6
2019/8/2, 55, , 27, , 3, 8
2019/8/3, 73, , 32, , 1, 6
2019/8/4, 48, , 28, , 1, 6
2019/8/5, 28, , 38, , 1, 6
